Data_Month_Date,Country,HB_Treatment_Description,Treatment_Location_Code,Treatment_Location_Name,ED_MIU,Number_Of_Attendances_agg,Number_of_Attendances_Epi,Number_Meeting_Target_agg,Number_Meeting_Target_epi,Discharge_destination_admission_to_same,Discharge_destination_other_spec,Discharge_destination_residence,Discharge_destination_transfer,Discharge_destination_unknown,Attendance_greater_8hrs,Attendances_greater_12hrs
Jul-07,NHS Scotland,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,MIU/Other,252,,252,,,,,,,,
Jul-07,NHS Scotland,NHS Ayrshire & Arran,A111H,University Hospital Crosshouse - ED,ED,5414,5414,5290,5290,1985,11,3374,44,0,26,24
Jul-07,NHS Scotland,NHS Ayrshire & Arran,A207H,Davidson Cottage Hospital,MIU/Other,92,,92,,,,,,,,
Jul-07,NHS Scotland,NHS Ayrshire & Arran,A210H,University Hospital Ayr - ED,ED,3530,3530,3355,3355,106,0,3369,8,47,3,1
Jul-07,NHS Scotland,NHS Borders,B103H,Knoll Community Hospital,MIU/Other,20,,20,,,,,,,,
Jul-07,NHS Scotland,NHS Borders,B105H,Hawick Community  Hospital,MIU/Other,105,,105,,,,,,,,
Jul-07,NHS Scotland,NHS Borders,B114H,Kelso Community Hospital,MIU/Other,31,,31,,,,,,,,
Jul-07,NHS Scotland,NHS Borders,B118H,Hay Lodge Hospital,MIU/Other,87,,87,,,,,,,,
Jul-07,NHS Scotland,NHS Borders,B120H,Borders General Hospital - ED,ED,1823,1823,1804,1804,571,1,1033,27,191,0,0
Jul-07,NHS Scotland,NHS Dumfries & Galloway,Y101H,Castle Douglas Hospital,MIU/Other,86,,86,,,,,,,,
Jul-07,NHS Scotland,NHS Dumfries & Galloway,Y106H,Kirkcudbright Hospital,MIU/Other,83,,83,,,,,,,,
Jul-07,NHS Scotland,NHS Dumfries & Galloway,Y109H,Moffat Hospital,MIU/Other,7,,7,,,,,,,,
Jul-07,NHS Scotland,NHS Dumfries & Galloway,Y110H,Newton Stewart Hospital,MIU/Other,85,,85,,,,,,,,
Jul-07,NHS Scotland,NHS Dumfries & Galloway,Y144H,Galloway Community Hospital - ED,ED,1189,,1167,,,,,,,,
Jul-07,NHS Scotland,NHS Dumfries & Galloway,Y146H,Dumfries & Galloway Royal Infirmary - ED,ED,2970,2970,2862,2862,900,5,1984,19,62,0,0
Jul-07,NHS Scotland,NHS Fife,F704H,Victoria Hospital (NHS Fife) - ED,ED,3912,3912,3703,3703,677,53,3051,33,98,6,1
Jul-07,NHS Scotland,NHS Fife,F708H,Adamson Hospital,MIU/Other,174,,174,,,,,,,,
Jul-07,NHS Scotland,NHS Fife,F709H,St Andrews Community Hospital,MIU/Other,282,,282,,,,,,,,
Jul-07,NHS Scotland,NHS Fife,F805H,Queen Margaret Hospital - ED,ED,3638,3638,3570,3570,762,152,2655,38,31,2,0
Jul-07,NHS Scotland,NHS Forth Valley,V102H,Falkirk Community Hospital,MIU/Other,1772,1772,1768,1768,0,0,1283,199,290,0,0
Jul-07,NHS Scotland,NHS Forth Valley,V201H,Stirling Royal Infirmary - ED,ED,4195,4195,4003,4003,1133,14,2421,34,593,5,1
Jul-07,NHS Scotland,NHS Grampian,N101H,Aberdeen Royal Infirmary - ED,ED,5312,5312,5168,5168,1236,29,3918,97,32,8,0
Jul-07,NHS Scotland,NHS Grampian,N121H,Royal Aberdeen Children's Hospital - ED,ED,1333,1333,1324,1324,335,0,997,1,0,0,0
Jul-07,NHS Scotland,NHS Grampian,N151H,Aboyne Hospital,MIU/Other,72,,72,,,,,,,,
Jul-07,NHS Scotland,NHS Grampian,N331H,Inverurie Hospital,MIU/Other,40,,40,,,,,,,,
Jul-07,NHS Scotland,NHS Grampian,N332H,Insch War Memorial Hospital,MIU/Other,62,,62,,,,,,,,
Jul-07,NHS Scotland,NHS Grampian,N333H,Peterhead Community Hospital,MIU/Other,1114,,1113,,,,,,,,
Jul-07,NHS Scotland,NHS Grampian,N334H,Fraserburgh Hospital,MIU/Other,904,,898,,,,,,,,
Jul-07,NHS Scotland,NHS Grampian,N335H,Jubilee Hospital,MIU/Other,279,,277,,,,,,,,
Jul-07,NHS Scotland,NHS Grampian,N336H,Turriff Hospital,MIU/Other,178,,178,,,,,,,,
Jul-07,NHS Scotland,NHS Grampian,N337H,Chalmers Hospital,MIU/Other,359,,359,,,,,,,,
Jul-07,NHS Scotland,NHS Grampian,N411H,Dr Gray's Hospital - ED,ED,1925,1925,1850,1850,465,3,1409,22,26,1,1
Jul-07,NHS Scotland,NHS Grampian,N431H,Seafield Hospital,MIU/Other,107,,107,,,,,,,,
